Ticker,Date,Timestamp,Cours_Ouverture,Cours,Volume_Cumule
ORGT,2026-05-29,2026-05-29 10:15:51,2730.0,2730.0,516.0
ORGT,2026-05-29,2026-05-29 11:20:26,2730.0,2700.0,2003.0
ORGT,2026-05-29,2026-05-29 11:55:27,2730.0,2715.0,2134.0
ORGT,2026-05-29,2026-05-29 12:04:43,2730.0,2715.0,2134.0
ORGT,2026-05-29,2026-05-29 12:05:34,2730.0,2700.0,2617.0
ORGT,2026-05-29,2026-05-29 12:15:27,2730.0,2715.0,2742.0
ORGT,2026-05-29,2026-05-29 12:25:04,2730.0,2715.0,2742.0
ORGT,2026-05-29,2026-05-29 12:56:03,2730.0,2710.0,2762.0
ORGT,2026-05-29,2026-05-29 12:58:29,2730.0,2710.0,2762.0
ORGT,2026-05-29,2026-05-29 13:05:25,2730.0,2700.0,3098.0
ORGT,2026-05-29,2026-05-29 13:20:30,2730.0,2700.0,3165.0
ORGT,2026-05-29,2026-05-29 13:35:27,2730.0,2710.0,3208.0
ORGT,2026-05-29,2026-05-29 13:50:29,2730.0,2710.0,3229.0
ORGT,2026-05-29,2026-05-29 14:05:34,2730.0,2710.0,3229.0
ORGT,2026-05-29,2026-05-29 14:20:23,2730.0,2710.0,3229.0
ORGT,2026-05-29,2026-05-29 14:35:25,2730.0,2710.0,3229.0
ORGT,2026-05-29,2026-05-29 14:50:26,2730.0,2600.0,4092.0
ORGT,2026-06-01,2026-06-01 09:50:26,0.0,2600.0,0.0
ORGT,2026-06-01,2026-06-01 10:05:31,2650.0,2650.0,380.0
ORGT,2026-06-01,2026-06-01 10:20:23,2650.0,2650.0,611.0
ORGT,2026-06-01,2026-06-01 10:35:21,2650.0,2650.0,880.0
ORGT,2026-06-01,2026-06-01 10:50:23,2650.0,2610.0,978.0
ORGT,2026-06-01,2026-06-01 11:05:28,2650.0,2650.0,1506.0
ORGT,2026-06-01,2026-06-01 11:20:26,2650.0,2650.0,1686.0
ORGT,2026-06-01,2026-06-01 11:35:27,2650.0,2650.0,1687.0
ORGT,2026-06-01,2026-06-01 11:50:23,2650.0,2650.0,1703.0
ORGT,2026-06-01,2026-06-01 12:05:27,2650.0,2635.0,2142.0
ORGT,2026-06-01,2026-06-01 12:20:27,2650.0,2635.0,2142.0
ORGT,2026-06-01,2026-06-01 12:35:25,2650.0,2635.0,2142.0
ORGT,2026-06-01,2026-06-01 12:50:25,2650.0,2650.0,2212.0
ORGT,2026-06-01,2026-06-01 13:05:26,2650.0,2640.0,2235.0
ORGT,2026-06-01,2026-06-01 13:20:28,2650.0,2650.0,2243.0
ORGT,2026-06-01,2026-06-01 13:35:26,2650.0,2650.0,2465.0
ORGT,2026-06-01,2026-06-01 13:50:29,2650.0,2645.0,2559.0
ORGT,2026-06-01,2026-06-01 14:05:29,2650.0,2645.0,2814.0
ORGT,2026-06-01,2026-06-01 14:20:30,2650.0,2645.0,2814.0
ORGT,2026-06-01,2026-06-01 14:35:28,2650.0,2645.0,2814.0
ORGT,2026-06-01,2026-06-01 14:50:32,2650.0,2630.0,3014.0
ORGT,2026-06-01,2026-06-01 15:05:33,2650.0,2630.0,3014.0
ORGT,2026-06-02,2026-06-02 09:50:24,2655.0,2645.0,397.0
ORGT,2026-06-02,2026-06-02 10:05:25,2655.0,2655.0,402.0
ORGT,2026-06-02,2026-06-02 10:20:23,2655.0,2655.0,402.0
ORGT,2026-06-02,2026-06-02 10:35:22,2655.0,2655.0,626.0
ORGT,2026-06-02,2026-06-02 10:50:23,2655.0,2655.0,626.0
ORGT,2026-06-02,2026-06-02 11:05:25,2655.0,2650.0,1669.0
ORGT,2026-06-02,2026-06-02 11:20:25,2655.0,2650.0,1682.0
ORGT,2026-06-02,2026-06-02 11:35:27,2655.0,2650.0,1690.0
ORGT,2026-06-02,2026-06-02 11:50:25,2655.0,2650.0,1915.0
ORGT,2026-06-02,2026-06-02 12:05:24,2655.0,2650.0,2068.0
ORGT,2026-06-02,2026-06-02 12:20:23,2655.0,2650.0,2188.0
ORGT,2026-06-02,2026-06-02 12:35:28,2655.0,2650.0,2188.0
ORGT,2026-06-02,2026-06-02 12:49:21,2655.0,2650.0,2188.0
ORGT,2026-06-02,2026-06-02 12:50:26,2655.0,2650.0,2188.0
ORGT,2026-06-02,2026-06-02 13:05:25,2655.0,2650.0,2203.0
ORGT,2026-06-02,2026-06-02 13:20:27,2655.0,2650.0,2229.0
ORGT,2026-06-02,2026-06-02 13:35:29,2655.0,2650.0,2439.0
ORGT,2026-06-02,2026-06-02 13:50:31,2655.0,2650.0,3372.0
ORGT,2026-06-02,2026-06-02 14:05:31,2655.0,2650.0,5634.0
ORGT,2026-06-02,2026-06-02 14:20:29,2655.0,2650.0,5634.0
ORGT,2026-06-02,2026-06-02 14:35:30,2655.0,2650.0,5634.0
ORGT,2026-06-02,2026-06-02 14:50:29,2655.0,2800.0,8634.0
ORGT,2026-06-02,2026-06-02 15:05:32,2655.0,2800.0,8634.0
ORGT,2026-06-03,2026-06-03 09:50:26,0.0,2800.0,0.0
ORGT,2026-06-03,2026-06-03 10:05:30,2825.0,2825.0,1199.0
ORGT,2026-06-03,2026-06-03 10:20:22,2825.0,2805.0,2784.0
ORGT,2026-06-03,2026-06-03 10:35:26,2825.0,2825.0,3375.0
ORGT,2026-06-03,2026-06-03 10:50:23,2825.0,2825.0,4202.0
ORGT,2026-06-03,2026-06-03 11:05:27,2825.0,2825.0,4767.0
ORGT,2026-06-03,2026-06-03 11:20:24,2825.0,2825.0,5417.0
ORGT,2026-06-03,2026-06-03 11:35:23,2825.0,2825.0,5517.0
ORGT,2026-06-03,2026-06-03 11:50:28,2825.0,2850.0,5575.0
ORGT,2026-06-03,2026-06-03 12:05:28,2825.0,2830.0,5775.0
ORGT,2026-06-03,2026-06-03 12:20:26,2825.0,2850.0,5783.0
ORGT,2026-06-03,2026-06-03 12:35:27,2825.0,2850.0,5990.0
ORGT,2026-06-03,2026-06-03 12:50:25,2825.0,2850.0,6015.0
ORGT,2026-06-03,2026-06-03 13:05:28,2825.0,2845.0,6165.0
ORGT,2026-06-03,2026-06-03 13:20:26,2825.0,2845.0,6165.0
ORGT,2026-06-03,2026-06-03 13:23:28,2825.0,2845.0,6165.0
ORGT,2026-06-03,2026-06-03 13:35:29,2825.0,2845.0,6211.0
ORGT,2026-06-03,2026-06-03 13:50:28,2825.0,2850.0,6396.0
ORGT,2026-06-03,2026-06-03 14:05:28,2825.0,2855.0,6426.0
ORGT,2026-06-03,2026-06-03 14:20:31,2825.0,2855.0,6426.0
ORGT,2026-06-03,2026-06-03 14:35:31,2825.0,2855.0,6426.0
ORGT,2026-06-03,2026-06-03 14:50:33,2825.0,2855.0,6460.0
ORGT,2026-06-03,2026-06-03 15:05:32,2825.0,2855.0,6460.0
ORGT,2026-06-04,2026-06-04 09:50:24,2870.0,2890.0,96.0
ORGT,2026-06-04,2026-06-04 10:05:21,2870.0,2900.0,598.0
ORGT,2026-06-04,2026-06-04 10:20:27,2870.0,2890.0,922.0
ORGT,2026-06-04,2026-06-04 10:35:26,2870.0,2900.0,1114.0
ORGT,2026-06-04,2026-06-04 10:50:27,2870.0,2890.0,2363.0
ORGT,2026-06-04,2026-06-04 11:05:24,2870.0,2895.0,3799.0
ORGT,2026-06-04,2026-06-04 11:20:26,2870.0,2890.0,3968.0
ORGT,2026-06-04,2026-06-04 11:35:23,2870.0,2890.0,4247.0
ORGT,2026-06-04,2026-06-04 11:50:22,2870.0,2890.0,4867.0
ORGT,2026-06-04,2026-06-04 12:05:25,2870.0,2890.0,5639.0
ORGT,2026-06-04,2026-06-04 12:10:10,2870.0,2890.0,5639.0
ORGT,2026-06-04,2026-06-04 12:20:28,2870.0,2890.0,5919.0
ORGT,2026-06-04,2026-06-04 12:35:27,2870.0,2880.0,6321.0
ORGT,2026-06-04,2026-06-04 12:50:24,2870.0,2880.0,6328.0
ORGT,2026-06-04,2026-06-04 13:05:26,2870.0,2880.0,6348.0
ORGT,2026-06-04,2026-06-04 13:20:30,2870.0,2875.0,6440.0
ORGT,2026-06-04,2026-06-04 13:35:30,2870.0,2870.0,6900.0
ORGT,2026-06-04,2026-06-04 13:50:27,2870.0,2870.0,6994.0
ORGT,2026-06-04,2026-06-04 14:05:32,2870.0,2880.0,7656.0
ORGT,2026-06-04,2026-06-04 14:20:30,2870.0,2880.0,7656.0
ORGT,2026-06-04,2026-06-04 14:35:25,2870.0,2865.0,7766.0
ORGT,2026-06-04,2026-06-04 14:50:27,2870.0,2865.0,7766.0
ORGT,2026-06-04,2026-06-04 15:05:35,2870.0,2865.0,7766.0
ORGT,2026-06-05,2026-06-05 09:50:22,0.0,2865.0,0.0
ORGT,2026-06-05,2026-06-05 10:05:23,2900.0,2900.0,305.0
ORGT,2026-06-05,2026-06-05 10:20:26,2900.0,2880.0,536.0
ORGT,2026-06-05,2026-06-05 10:35:24,2900.0,2880.0,1068.0
